date,wifi status,tablet status,phone status,temp,heating degree,cooling degree,precipitation,snowfall,snow/ice depth,census
28/10/2016,up,up,up,8,18.5,0,0,0,0,1405
29/10/2016,up,up,up,2,29,0,0,0,0,3211
30/10/2016,up,up,up,2,29,0,0,0,0,3838
31/10/2016,up,up,up,9,16,0,0,0,0,1010
01/11/2016,up,up,up,2,29,0,0,0,0,3334
02/11/2016,up,up,up,2,29,0,0,0,0,3779
03/11/2016,up,up,up,2,29,0,0,0,0,3761
04/11/2016,up,up,up,12,11,0,0,0,0,1044
05/11/2016,up,up,up,2,29,0,0,0,0,3850
06/11/2016,up,up,up,2,29,0,0,0,0,3237
07/11/2016,up,up,up,8,18,0,0,0,0,1044
08/11/2016,up,up,up,2,29,0,0,0,0,3154
09/11/2016,up,up,up,2,29,0,0,0,0,3800
10/11/2016,up,up,up,2,29,0,0,0,0,3681
11/11/2016,up,up,up,11,13,0,0,0,0,1129
12/11/2016,up,up,up,2,29,0,0,0,0,3861
13/11/2016,up,up,up,2,29,0,0,0,0,3898
14/11/2016,up,up,up,2,29,0,0,0,0,3346
15/11/2016,up,up,up,2,29,0,0,0,0,3871
16/11/2016,up,up,up,12,12,0,0,0,0,1193
17/11/2016,up,up,up,2,29,0,0,0,0,3828
18/11/2016,up,up,up,12,11,0,0,0,0,1343
19/11/2016,up,up,up,2,29,0,0,0,0,3881
20/11/2016,up,up,up,2,29,0,0,0,0,3692
21/11/2016,up,up,up,4,26.5,0,0,0,0,1195
22/11/2016,up,up,up,2,29,0,0,0,0,1492
23/11/2016,up,up,up,4,25,0,0,0,0,869
24/11/2016,up,up,up,2,29,0,0,0,0,1250
25/11/2016,up,up,up,2,29,0,0,0,0,3749
26/11/2016,up,up,up,2,29,0,0,0,0,2513
27/11/2016,up,up,up,2,29,0,0,0,0,3157
28/11/2016,up,up,up,2,29,0,0,0,0,3678
29/11/2016,up,up,up,2,29,0,0,0,0,1975
30/11/2016,up,up,up,12,11,0,0.73,0,0,2596
01/12/2016,up,up,up,2,29,0,0,0,0,2878
02/12/2016,up,up,up,2,29,0,0,0,0,3309
03/12/2016,up,up,up,2,29,0,0,0,0,2766
04/12/2016,up,up,up,6,22,0,0,0,0,1088
05/12/2016,up,up,up,6,21.5,0,0.19,0,0,1019
06/12/2016,up,up,up,2,29,0,0,0,0,3285
07/12/2016,up,up,up,6,22,0,0.09,0,0,1092
08/12/2016,up,up,up,2,29,0,0,0,0,3630
09/12/2016,up,up,up,2,29,0,0,0,0,3409
10/12/2016,up,up,up,2,29,0,0,0,0,3341
11/12/2016,up,up,up,2,29,0,0,0,0,3651
12/12/2016,up,up,up,4,25,0,0.5,0,0,1269
13/12/2016,up,up,up,2,29,0,0,0,0,1092
14/12/2016,up,up,up,3,27,0,0,0,0,803
15/12/2016,up,up,up,-3,38.5,0,1.00E-04,0.001,0,1014
16/12/2016,up,up,up,-6,43,0,0,0,0,967
17/12/2016,up,up,up,2,29,0,0,0,0,3756
18/12/2016,up,up,up,2,29,0,0,0,0,2092
19/12/2016,up,up,up,2,29,0,0,0,0,3090
20/12/2016,up,up,up,-3,38.5,0,0,0,0,955
21/12/2016,up,up,up,2,29,0,0,0,0,3793
22/12/2016,up,up,up,6,22,0,0,0,0,1347
23/12/2016,up,up,up,2,29,0,0,0,0,3112
24/12/2016,up,up,up,2,29,0,0,0,0,3092
25/12/2016,up,up,up,2,29,0,0,0,0,3401
26/12/2016,up,up,up,2,29,0,0,0,0,3002
27/12/2016,up,up,up,2,29,0,0,0,0,3941
28/12/2016,up,up,up,3,28,0,0,0,0,3114
29/12/2016,up,up,up,4,25.5,0,0.39,0,0,4979
30/12/2016,up,up,up,2,28.5,0,0.01,0.001,0,5621
31/12/2016,up,up,up,2,29,0,0,0,0,4392
01/01/2017,up,up,up,2,29,0,0,0,0,5392
02/01/2017,up,up,up,4,26,0,0.21,0.001,0,4991
03/01/2017,up,up,up,5,24,0,0.58,0,0,3007
04/01/2017,up,up,up,2,29,0,0,0,0,3254
05/01/2017,up,up,up,-1,34.5,0,0,0,0,2028
06/01/2017,up,up,up,2,29,0,0,0,0,3397
07/01/2017,up,up,up,2,29,0,0,0,0,3302
08/01/2017,up,up,up,-6,44.5,0,0,0,4,2051
09/01/2017,up,up,up,-8,46.5,0,0,0,3,1044
10/01/2017,up,up,up,2,29,0,0,0,0,3768
11/01/2017,up,up,up,8,18,0,0.52,0,0,1076
12/01/2017,up,up,up,2,29,0,0,0,0,2061
13/01/2017,up,up,up,2,29,0,0,0,0,2258
14/01/2017,up,up,up,2,29,0,0,0,0,2891
15/01/2017,up,up,up,2,29,0,0,0,0,2745
16/01/2017,up,up,up,2,29,0,0,0,0,2483
17/01/2017,up,up,up,4,25,0,0.35,0,0,4322
18/01/2017,up,up,up,4,25.5,0,0.06,0,0,1021
19/01/2017,up,up,up,2,29,0,0,0,0,3554
20/01/2017,up,up,up,6,22.5,0,0.1,0,0,1073
21/01/2017,up,up,up,2,29,0,0,0,0,3717
22/01/2017,up,up,up,2,29,0,0,0,0,3809
23/01/2017,up,up,up,2,29,0,0,0,0,3150
24/01/2017,up,up,up,2,29,0,0,0,0,3974
25/01/2017,up,up,up,6,21.5,0,0,0,0,2290
26/01/2017,up,up,up,10,15.5,0,0.02,0,0,1382
27/01/2017,up,up,up,2,29,0,0,0,0,3836
28/01/2017,up,up,up,2,29,0,0,0,0,3938
29/01/2017,up,up,up,2,29,0,0,0,0,3092
30/01/2017,up,up,up,1,31.5,0,0,0,0,825
31/01/2017,up,up,up,2,29,0,0,0,0,3300
01/02/2017,up,up,up,2,29,0,0,0,0,3578
02/02/2017,up,up,up,4,26.5,0,0,0,0,1076
03/02/2017,up,up,up,-1,35.5,0,0,0,0,1402
04/02/2017,up,up,up,2,29,0,0,0,0,3996
05/02/2017,up,up,up,2,29,0,0,0,0,3011
06/02/2017,up,up,up,2,29,0,0,0,0,3092
07/02/2017,up,up,up,2,29,0,0,0,0,3408
08/02/2017,up,up,up,10,15,0,0.03,0,0,1023
09/02/2017,up,up,up,2,29,0,0,0,0,3222
10/02/2017,up,up,up,-4,39.5,0,1.00E-04,0.001,8,992
11/02/2017,up,up,up,4,26,0,0,0,5,1121
12/02/2017,up,up,up,2,29,0,0,0,0,3827
13/02/2017,up,up,up,2,30,0,0.02,0,2,2915
14/02/2017,up,up,up,2,29,0,0,0,0,3390
15/02/2017,up,up,up,2,29,0,0,0,0,3592
16/02/2017,up,up,up,2,29,0,0,0,0,2292
17/02/2017,up,up,up,1,31.5,0,0,0,0.01,2966
18/02/2017,up,up,up,2,29,0,0,0,0,3730
19/02/2017,up,up,up,2,29,0,0,0,0,3833
20/02/2017,up,up,up,2,29,0,0,0,0,3999
21/02/2017,up,up,up,5,24.5,0,0,0,0,5691
22/02/2017,up,up,up,10,15.5,0,0,0,0,4261
23/02/2017,up,up,up,12,10.5,0,0,0,0,3080
24/02/2017,up,up,up,18,1,0,0,0,0,2911
25/02/2017,up,up,up,2,29,0,0,0,0,3834
26/02/2017,up,up,up,2,29,0,0,0,0,3896
27/02/2017,up,up,up,7,20.5,0,0,0,0,1151
28/02/2017,up,up,up,12,12,0,0,0,0,5258
01/03/2017,up,up,up,2,29,0,0,0,0,3134
02/03/2017,up,up,up,10,15.5,0,0,0,0,2914
03/03/2017,up,up,up,0,33.5,0,0,0,0,1602
04/03/2017,up,up,up,-5,41.5,0,0,0,0,1074
05/03/2017,up,up,up,-4,39.5,0,0,0,0,1127
06/03/2017,up,up,up,2,29,0,0,0,0,3507
07/03/2017,up,up,up,2,29,0,0,0,0,3302
08/03/2017,up,up,up,12,12,0,0.02,0,0,3145
09/03/2017,up,up,up,2,29,0,0,0,0,3134
10/03/2017,up,up,up,2,30,0,0.31,2.1,0,1907
11/03/2017,up,up,up,-5,42,0,0,0,1,2952
12/03/2017,up,up,up,2,29,0,0,0,0,2092
13/03/2017,up,up,up,-2,37,0,1.00E-04,0.001,0,1006
14/03/2017,up,up,up,2,29,0,0,0,0,3196
15/03/2017,up,up,up,2,29,0,0,0,0,1191
16/03/2017,up,up,up,2,29,0,0,0,0,2924
17/03/2017,up,up,up,2,29,0,0,0,0,3044
18/03/2017,up,up,up,2,29,0,0,0,0,2071
19/03/2017,up,up,up,2,29,0,0,0,0,2216
20/03/2017,up,up,up,6,22.5,0,0,0,0.01,2152
21/03/2017,up,up,up,2,29,0,0,0,0,3703
22/03/2017,up,up,up,3,28,0,0,0,0,1260
23/03/2017,up,up,up,0,32.5,0,0,0,0,1420
24/03/2017,up,up,up,8,18.5,0,1.00E-04,0,0,923
25/03/2017,up,up,up,2,29,0,0,0,0,3585
26/03/2017,up,up,up,2,29,0,0,0,0,3361
27/03/2017,up,up,up,2,29,0,0,0,0,3589
28/03/2017,up,up,up,6,21.5,0,0.72,0,0,4112
29/03/2017,up,up,up,11,14,0,0,0,0,826
30/03/2017,up,up,up,7,20,0,0.01,0,0,3113
31/03/2017,up,up,up,4,25,0,1.51,0,0,876
01/04/2017,up,up,up,2,29,0,0,0,0,3353
02/04/2017,up,up,up,2,29,0,0,0,0,3884
03/04/2017,up,up,up,2,29,0,0,0,0,3927
04/04/2017,up,up,up,2,29,0,0,0,0,3816
05/04/2017,up,up,up,13,10,0,0,0,0,1103
06/04/2017,up,up,up,2,29,0,0,0,0,3753
